,rated,runtime,director,genre,star,budget,label,United States,United Kingdom,France,Canada,China,Germany,Australia,Japan,India,Spain,English,Spanish,French,German,Russian,Italian,Japanese,Mandarin,Hindi,Arabic,Ukrainian,Korean,Hebrew,Swedish,Latin,Luc Besson,Nicholas Stoller,Jane Goldman,Allan Loeb,Stan Lee,Sean Anders,Brian Helgeland,Cinco Paul,Ken Daurio,Phil Hay,Sylvester Stallone,Nicholas Sparks,Woody Allen,John Morris,Matthew Vaughn,Ethan Reiff,Dan Fogelman,Matt Manfredi,Peter Straughan,Mark Bomback,Darren Lemke,Jennifer Lee,Jez Butterworth,Jonathan Aibel,Billy Ray,Evan Daugherty,Christopher Markus,Stephen McFeely,Steven Knight,Jeff Pinkner,Gary Dauberman,Christopher Nolan,Michael Bacall,Edgar Wright,Adam Sandler,Leigh Whannell,Joel Coen,Ethan Coen,Christopher McQuarrie,Simon Beaufoy,Adam McKay,Hans Christian Andersen,Chris Buck,Peter Morgan,Noah Baumbach,John-Henry Butterworth,Guillermo del Toro,Chris Morgan,Glenn Berger,Josh Appelbaum,Mark Wahlberg,Michael Fassbender,Liam Neeson,Dwayne Johnson,Steve Carell,Jennifer Lawrence,Owen Wilson,Scarlett Johansson,Matthew McConaughey,Gerard Butler,Matt Damon,Jonah Hill,Bradley Cooper,Keira Knightley,Ryan Reynolds,Emily Blunt,Channing Tatum,Chris Hemsworth,Tom Hardy,Robert Downey Jr.,Cate Blanchett,Emma Stone,Nicole Kidman,Seth Rogen,Anna Kendrick,Kevin Hart,Jesse Eisenberg,Helen Mirren,Robert Pattinson,Joel Edgerton,Rachel McAdams,Rachel Weisz,Naomi Watts,Jake Gyllenhaal,Hugh Jackman,Russell Crowe,Michelle Williams,James Franco,Anne Hathaway,Zac Efron,Jessica Chastain,Chris Evans,Mark Ruffalo,Nicolas Cage,Chloë Grace Moretz,Johnny Depp,Kristen Stewart,Amy Adams,Robert De Niro,Chris Pine
13,PG-13,140,Ridley Scott,Action,Taron Egerton,100000000.0,1,1,1,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
14,PG-13,140,Ridley Scott,Action,Russell Crowe,200000000.0,1,1,1,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
15,PG-13,140,Ridley Scott,Action,Taron Egerton,100000000.0,1,1,1,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
16,R,94,Gareth Edwards,Adventure,other,500000.0,1,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PG-13,103,James Wan,Horror,other,1500000.0,1,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PG,100,"Nathan Greno, Byron Howard",Animation,other,260000000.0,1,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PG-13,111,Robert Schwentke,Action,other,58000000.0,1,1,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
20,R,108,Steven R. Monroe,Horror,other,2000000.0,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PG,103,M. Night Shyamalan,Action,other,150000000.0,0,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PG,98,"Dean DeBlois, Chris Sanders",Animation,other,165000000.0,2,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,R,105,Anton Corbijn,Crime,other,20000000.0,1,1,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,R,131,Denis Villeneuve,Drama,other,6800000.0,2,,,1,1,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,R,146,Michael Patrick King,Comedy,other,100000000.0,0,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PG-13,119,Steve Antin,Drama,other,55000000.0,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PG,108,Tim Burton,Adventure,Mia Wasikowska,200000000.0,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
28,PG,95,"Pierre Coffin, Chris Renaud",Animation,Steve Carell,69000000.0,1,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PG-13,110,"Ethan Coen, Joel Coen",Drama,other,38000000.0,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PG-13,103,Florian Henckel von Donnersmarck,Action,Johnny Depp,100000000.0,1,1,1,1,,,,,,,,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
31,PG-13,124,David Slade,Action,Kristen Stewart,68000000.0,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,
32,PG-13,106,Louis Leterrier,Action,other,15000000.0,1,1,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PG-13,106,Louis Leterrier,Action,Sam Worthington,125000000.0,1,1,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,R,118,"Albert Hughes, Allen Hughes",Action,Denzel Washington,80000000.0,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
