,genre,metascore,imdbrating,internet_movie_database_rating,rotten_tomato_rating,metacritic_rating,budget
1657,Animation,55.0,6.5,6.5,60.0,55.0,80000000.0
1658,Action,54.0,6.0,6.0,44.0,54.0,25000000.0
1659,Adventure,61.0,6.2,6.2,77.0,61.0,25000000.0
1660,Thriller,39.0,5.6,5.6,33.0,39.0,8000000.0
1661,Animation,60.0,6.4,6.4,73.0,60.0,65000000.0
1662,Comedy,49.0,5.4,5.4,41.0,49.0,20000000.0
1663,Adventure,43.0,5.0,5.0,45.0,43.0,12000000.0
1664,Action,65.0,6.6,6.6,84.0,65.0,0.0
1665,Comedy,57.0,6.2,6.2,71.0,57.0,9000000.0
1666,Animation,72.0,7.5,7.5,92.0,72.0,11100000.0
1667,Comedy,70.0,6.3,6.3,94.0,70.0,0.0
1668,Animation,65.0,6.6,6.6,84.0,65.0,99000000.0
1669,Drama,72.0,6.6,6.6,90.0,72.0,0.0
1670,Drama,91.0,6.4,6.4,89.0,91.0,0.0
1671,Comedy,89.0,7.6,7.6,97.0,89.0,0.0
1672,Comedy,35.0,5.5,5.5,13.0,35.0,21000000.0
1673,Comedy,38.0,6.4,6.4,45.0,38.0,0.0
1674,Comedy,55.0,5.5,5.5,57.0,55.0,5000000.0
1675,Action,35.0,5.6,5.6,23.0,35.0,38000000.0
1676,Comedy,35.0,5.3,5.3,29.0,35.0,0.0
1677,Action,42.0,6.2,6.2,42.0,42.0,16000000.0
1678,Comedy,43.0,7.6,7.6,44.0,43.0,18000000.0
1679,Comedy,71.0,6.9,6.9,88.0,71.0,15000000.0
1680,Comedy,51.0,6.5,6.5,50.0,51.0,20000000.0
1681,Action,62.0,7.0,7.0,85.0,62.0,52000000.0
1682,Animation,61.0,7.0,7.0,82.0,61.0,75000000.0
1683,Drama,43.0,6.4,6.4,27.0,43.0,0.0
1684,Comedy,60.0,5.9,5.9,70.0,60.0,31000000.0
1685,Action,42.0,5.4,5.4,30.0,42.0,0.0
1686,Adventure,43.0,7.5,7.5,51.0,43.0,16000000.0
1687,Drama,49.0,6.4,6.4,43.0,49.0,5000000.0
1688,Animation,39.0,5.1,5.1,28.0,39.0,45000000.0
1689,Biography,48.0,6.8,6.8,51.0,48.0,20000000.0
1690,Drama,63.0,5.7,5.7,83.0,63.0,0.0
1691,Comedy,72.0,6.8,6.8,88.0,72.0,0.0
1692,Comedy,0.0,8.3,8.3,58.0,0.0,0.0
1693,Action,41.0,5.8,5.8,21.0,41.0,15000000.0
1694,Adventure,50.0,6.7,6.7,59.0,50.0,18000000.0
1695,Biography,0.0,8.0,8.0,31.0,0.0,0.0
1696,Animation,45.0,5.9,5.9,34.0,45.0,90000000.0
1697,Action,65.0,6.9,6.9,97.0,65.0,0.0
1698,Crime,18.0,4.1,4.1,16.0,18.0,18000000.0
1699,Drama,77.0,6.9,6.9,95.0,77.0,0.0
1700,Action,60.0,5.6,5.6,67.0,60.0,10000000.0
1701,Action,57.0,6.0,6.0,71.0,57.0,48000000.0
1702,Action,66.0,6.0,6.0,90.0,66.0,59000000.0
1703,Drama,0.0,6.0,6.0,0.0,0.0,1100000.0
1704,Animation,68.0,6.7,6.7,88.0,68.0,100000000.0
1705,Biography,46.0,6.3,6.3,63.0,46.0,14000000.0
1706,Comedy,36.0,6.1,6.1,36.0,36.0,10000000.0
1707,Fantasy,45.0,5.9,5.9,43.0,45.0,6000000.0
1708,Animation,54.0,7.5,7.5,88.0,54.0,0.0
1709,Drama,67.0,6.9,6.9,68.0,67.0,0.0
1710,Drama,65.0,7.9,7.9,96.0,65.0,0.0
1711,Crime,0.0,5.3,5.3,17.0,0.0,0.0
1712,Drama,17.0,6.7,6.7,56.0,17.0,5000000.0
1713,Crime,71.0,6.3,6.3,87.0,71.0,0.0
