title,rated,released,runtime,director,writer,actors,plot,language,country,awards,metascore,imdbrating,imdbvotes,dvd,boxoffice,response,genre,star,budget,gross,year,internet_movie_database_rating,rotten_tomato_rating,metacritic_rating
Final Destination 5,R,2011-08-12,92,Steven Quale,"Eric Heisserer, Jeffrey Reddick","Nicholas D'Agosto, Emma Bell, Arlen Escarpeta",Death returns to claim the lucky survivors of a deadly bridge collapse in this fifth frightening installment in the series.,"English, Cantonese","United States, Canada",2 wins & 6 nominations,50.0,5.8,112763,27 Dec 2011,42587643.0,True,Action,Nicholas D'Agosto,40000000.0,157887643.0,2011,5.8,62.0,50.0
I Am Number Four,PG-13,2011-02-18,111,D.J. Caruso,"Alfred Gough, Miles Millar, Marti Noxon","Alex Pettyfer, Timothy Olyphant, Dianna Agron","Aliens and their Guardians are hiding on Earth from intergalactic bounty hunters. They can only be killed in numerical order, and Number Four is next on the list. This is his story.","English, French","United States, India",1 win & 1 nomination,36.0,6.1,234138,24 May 2011,55100437.0,True,Action,Alex Pettyfer,60000000.0,149878437.0,2011,6.1,33.0,36.0
You're Next,R,2013-08-23,95,Adam Wingard,Simon Barrett,"Sharni Vinson, Joe Swanberg, AJ Bowen","When the Davison family comes under attack during their wedding anniversary getaway, the gang of mysterious killers soon learns that one of the victims harbors a secret talent for fighting back.",English,"United States, United Kingdom",11 wins & 20 nominations,66.0,6.6,95725,14 Jan 2014,18494006.0,True,Horror,Sharni Vinson,1000000.0,26895481.0,2013,6.6,79.0,66.0
Zindagi Na Milegi Dobara,Not Rated,2011-07-15,155,Zoya Akhtar,"Farhan Akhtar, Reema Kagti, Zoya Akhtar","Hrithik Roshan, Farhan Akhtar, Abhay Deol",Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.,"Hindi, English, Spanish",India,32 wins & 22 nominations,0.0,8.2,74303,30 Nov 2016,3108485.0,True,Comedy,Hrithik Roshan,0.0,5192743.0,2011,8.2,92.0,0.0
The Hunter,R,2011-10-06,100,Daniel Nettheim,"Alice Addison, Wain Fimeri, Daniel Nettheim","Willem Dafoe, Sam Neill, Morgan Davies","Martin, a mercenary, is sent from Europe by a mysterious biotech company to the Tasmanian wilderness on a hunt for the last Tasmanian tiger.",English,Australia,4 wins & 23 nominations,63.0,6.7,38369,03 Jul 2012,176669.0,True,Adventure,Willem Dafoe,0.0,1680778.0,2011,6.7,72.0,63.0
Drive Angry,R,2011-02-25,104,Patrick Lussier,"Todd Farmer, Patrick Lussier","Nicolas Cage, Amber Heard, William Fichtner",A vengeful father escapes from hell and chases after the men who killed his daughter and kidnapped his granddaughter.,English,United States,1 win & 6 nominations,44.0,5.4,97316,31 May 2011,10721033.0,True,Action,Nicolas Cage,50000000.0,40909909.0,2011,5.4,48.0,44.0
Jack and Jill,PG,2011-11-11,91,Dennis Dugan,"Ben Zook, Steve Koren, Adam Sandler","Adam Sandler, Katie Holmes, Al Pacino","Family guy, Jack Sadelstein, prepares for the annual event he always dreads--the Thanksgiving visit of his fraternal twin sister, the needy, and passive-aggressive Jill, who then refuses to leave.",English,United States,14 wins & 5 nominations,23.0,3.3,82390,06 Mar 2012,74158157.0,True,Comedy,Adam Sandler,79000000.0,149673788.0,2011,3.3,3.0,23.0
Zookeeper,PG,2011-07-08,102,Frank Coraci,"Nick Bakay, Rock Reuben, Kevin James","Kevin James, Rosario Dawson, Leslie Bibb","A group of zoo animals decide to break their code of silence in order to help their lovable zookeeper find love, without opting to leave his current job for something more illustrious.",English,United States,1 win & 2 nominations,30.0,5.2,60182,11 Oct 2011,80360843.0,True,Comedy,Kevin James,80000000.0,169852759.0,2011,5.2,14.0,30.0
The Hangover Part II,R,2011-05-26,102,Todd Phillips,"Craig Mazin, Scot Armstrong, Todd Phillips","Bradley Cooper, Zach Galifianakis, Ed Helms","Two years after the bachelor party in Las Vegas, Phil, Stu, Alan, and Doug jet to Thailand for Stu's wedding. Stu's plan for a subdued pre-wedding brunch, however, goes seriously awry.","English, Thai",United States,5 wins & 18 nominations,44.0,6.5,484742,06 Dec 2011,254464305.0,True,Comedy,Bradley Cooper,80000000.0,586764305.0,2011,6.5,34.0,44.0
Hall Pass,R,2011-02-25,105,"Bobby Farrelly, Peter Farrelly","Pete Jones, Peter Farrelly, Kevin Barnett","Owen Wilson, Jason Sudeikis, Christina Applegate","Rick and Fred, two husbands who are having difficulty in their marriages, are given a Hall Pass by their wives: for one week, they can do whatever they want.",English,United States,NA,45.0,5.8,124036,14 Jun 2011,45060734.0,True,Comedy,Owen Wilson,36000000.0,86157237.0,2011,5.8,33.0,45.0
The Best Exotic Marigold Hotel,PG-13,2012-05-25,124,John Madden,"Ol Parker, Deborah Moggach","Judi Dench, Bill Nighy, Maggie Smith","British retirees travel to India to take up residence in what they believe is a newly restored hotel. Less luxurious than advertised, the Marigold Hotel nevertheless slowly begins to charm in unexpected ways.","English, Hindi",United Kingdom,Nominated for 1 BAFTA Film Award4 wins & 22 nominations total,62.0,7.3,93714,18 Sep 2012,46412041.0,True,Comedy,Judi Dench,10000000.0,136836272.0,2012,7.3,78.0,62.0
The Grey,R,2012-01-27,117,Joe Carnahan,"Joe Carnahan, Ian Mackenzie Jeffers","Liam Neeson, Dermot Mulroney, Frank Grillo","After their plane crashes in Alaska, six oil workers are led by a skilled huntsman to survival, but a pack of merciless wolves haunts their every step.","English, Spanish",United States,2 wins & 8 nominations,64.0,6.8,248381,22 May 2012,51580236.0,True,Action,Liam Neeson,25000000.0,79781695.0,2012,6.8,79.0,64.0
The Sitter,R,2011-12-09,81,David Gordon Green,"Brian Gatewood, Alessandro Tanaka","Jonah Hill, Ari Graynor, Sam Rockwell","A college student on suspension is coaxed into babysitting the kids next door, though he is fully unprepared for the wild night ahead of him.",English,United States,2 nominations,39.0,5.7,70140,17 Apr 2012,30441326.0,True,Comedy,Jonah Hill,25000000.0,34942188.0,2011,5.7,22.0,39.0
Take Me Home Tonight,R,2011-03-04,97,Michael Dowse,"Jackie Filgo, Jeff Filgo, Topher Grace","Topher Grace, Anna Faris, Dan Fogler","Four years after graduation, an awkward high school genius uses his sister's boyfriend's Labor Day party as the perfect opportunity to make his move on his high school crush.",English,"United States, Germany",1 nomination,42.0,6.3,52866,19 Jul 2011,6928068.0,True,Comedy,Topher Grace,23000000.0,7550073.0,2011,6.3,28.0,42.0
The Mechanic,R,2011-01-28,93,Simon West,"Richard Wenk, Lewis John Carlino","Jason Statham, Ben Foster, Donald Sutherland",An elite hitman teaches his trade to an apprentice who has a connection to one of his previous victims.,English,United States,1 nomination,49.0,6.6,157595,17 May 2011,29121498.0,True,Action,Jason Statham,40000000.0,76130093.0,2011,6.6,53.0,49.0
Ghost Rider: Spirit of Vengeance,PG-13,2012-02-17,96,"Mark Neveldine, Brian Taylor","Scott M. Gimple, Seth Hoffman, David S. Goyer","Nicolas Cage, Ciarán Hinds, Idris Elba","Johnny Blaze, tortured by the Ghost Rider's curse, gets a chance of redemption through protecting the Devil's son, whose father is pursuing him.","English, Romanian","United States, United Arab Emirates",4 nominations,34.0,4.3,116435,12 Jun 2012,51774002.0,True,Action,Nicolas Cage,57000000.0,132563930.0,2012,4.3,18.0,34.0
Battle Los Angeles,PG-13,2011-03-11,116,Jonathan Liebesman,Christopher Bertolini,"Aaron Eckhart, Michelle Rodriguez, Bridget Moynahan",A squad of U.S. Marines becomes the last line of defense against a global invasion.,"English, Ukrainian",United States,1 win & 4 nominations,37.0,5.7,178209,14 Jun 2011,83552429.0,True,Action,Aaron Eckhart,70000000.0,211819354.0,2011,5.7,36.0,37.0
The Green Hornet,PG-13,2011-01-14,119,Michel Gondry,"Seth Rogen, Evan Goldberg, George W. Trendle","Seth Rogen, Jay Chou, Christoph Waltz","Following the death of his father, Britt Reid, heir to his father's large company, teams up with his late dad's assistant Kato to become a masked crime fighting team.","English, Mandarin",United States,4 wins & 7 nominations,39.0,5.8,159049,03 May 2011,98780042.0,True,Action,Seth Rogen,120000000.0,227817248.0,2011,5.8,44.0,39.0
Killer Elite,R,2011-09-23,116,Gary McKendry,"Matt Sherring, Ranulph Fiennes","Jason Statham, Clive Owen, Robert De Niro","When his mentor is taken captive by a disgraced Arab sheik, a killer-for-hire is forced into action. His mission: kill three members of Britain's elite Special Air Service responsible for the death of his sons.","English, Arabic, French, Spanish","United Kingdom, Australia",2 wins & 8 nominations,44.0,6.4,127858,10 Jan 2012,25124966.0,True,Action,Jason Statham,70000000.0,57084522.0,2011,6.4,28.0,44.0
Shark Night,PG-13,2011-09-02,90,David R. Ellis,"Will Hayes, Jesse Studenberg","Sara Paxton, Dustin Milligan, Chris Carmack",A weekend at a lake house in the Louisiana Gulf turns into a nightmare for seven vacationers as they are subjected to shark attacks.,English,United States,1 nomination,22.0,4.0,25728,03 Jan 2012,18877153.0,True,Horror,Sara Paxton,25000000.0,41363927.0,2011,4.0,18.0,22.0
J. Edgar,R,2011-11-11,137,Clint Eastwood,Dustin Lance Black,"Leonardo DiCaprio, Armie Hammer, Naomi Watts","J. Edgar Hoover, powerful head of the F.B.I. for nearly fifty years, looks back on his professional and personal life.",English,United States,5 wins & 17 nominations,59.0,6.5,126719,21 Feb 2012,37306030.0,True,Biography,Leonardo DiCaprio,35000000.0,84920539.0,2011,6.5,43.0,59.0
Dream House,PG-13,2011-09-30,92,Jim Sheridan,David Loucka,"Daniel Craig, Rachel Weisz, Naomi Watts","Soon after moving into their seemingly idyllic new home, a family learns of a brutal crime committed against former residents of the dwelling.",English,"United States, Canada",2 nominations,35.0,6.0,65901,31 Jan 2012,21302340.0,True,Drama,Daniel Craig,50000000.0,39984400.0,2011,6.0,6.0,35.0
Haywire,R,2012-01-20,93,Steven Soderbergh,Lem Dobbs,"Gina Carano, Ewan McGregor, Michael Fassbender",A black ops super soldier seeks payback after she is betrayed and set up during a mission.,"English, Spanish","Ireland, United States",7 nominations,67.0,5.8,86180,01 May 2012,18942396.0,True,Action,Gina Carano,23000000.0,34513760.0,2012,5.8,80.0,67.0
A Dangerous Method,R,2011-11-10,99,David Cronenberg,"Christopher Hampton, John Kerr","Michael Fassbender, Keira Knightley, Viggo Mortensen",A look at how the intense relationship between Carl Jung and Sigmund Freud gives birth to psychoanalysis.,English,"United Kingdom, Germany, Canada, United States",18 wins & 28 nominations,76.0,6.4,101838,13 Mar 2012,5704709.0,True,Biography,Michael Fassbender,0.0,30519436.0,2011,6.4,78.0,76.0
The Muppets,PG,2011-11-23,103,James Bobin,"Jason Segel, Nicholas Stoller, Jim Henson","Amy Adams, Jason Segel, Chris Cooper",A Muppet fanatic with some help from his 2 human compatriots must regroup the Muppet gang to stop an avaricious oil mogul from taking down one of their precious life-longing treasures.,English,"United States, United Kingdom, France",Won 1 Oscar. 17 wins & 43 nominations total,75.0,7.1,90642,20 Mar 2012,88631237.0,True,Adventure,Amy Adams,45000000.0,165184237.0,2011,7.1,95.0,75.0
The Smurfs,PG,2011-07-29,103,Raja Gosnell,"J. David Stem, David N. Weiss, Jay Scherick","Hank Azaria, Katy Perry, Jonathan Winters","When the evil wizard Gargamel chases the tiny blue Smurfs out of their village, they tumble from their magical world into New York City.",English,"United States, Belgium, Canada",2 wins & 8 nominations,30.0,5.4,88044,21 Sep 2011,142614158.0,True,Animation,Hank Azaria,110000000.0,563749323.0,2011,5.4,21.0,30.0
The Ides of March,R,2011-10-07,101,George Clooney,"George Clooney, Grant Heslov, Beau Willimon","Paul Giamatti, George Clooney, Philip Seymour Hoffman",An idealistic staffer for a new presidential candidate gets a crash course on dirty politics during his stint on the campaign trail.,English,United States,Nominated for 1 Oscar. 9 wins & 36 nominations total,67.0,7.1,220434,17 Jan 2012,40962534.0,True,Drama,Paul Giamatti,12500000.0,76338111.0,2011,7.1,84.0,67.0
Fright Night,R,2011-08-19,106,Craig Gillespie,"Marti Noxon, Tom Holland","Anton Yelchin, Colin Farrell, David Tennant","When a nice new neighbor moves in next door, Charley discovers that he is an ancient vampire who preys on the community. Can he save his neighborhood from the creature with the help of the famous ""vampire killer"", Peter Vincent?",English,United States,2 wins & 8 nominations,64.0,6.4,103957,07 Oct 2008,18302607.0,True,Fantasy,Chris Sarandon,9000000.0,24922237.0,2011,6.4,72.0,64.0
Fright Night,R,2011-08-19,106,Craig Gillespie,"Marti Noxon, Tom Holland","Anton Yelchin, Colin Farrell, David Tennant","When a nice new neighbor moves in next door, Charley discovers that he is an ancient vampire who preys on the community. Can he save his neighborhood from the creature with the help of the famous ""vampire killer"", Peter Vincent?",English,United States,2 wins & 8 nominations,64.0,6.4,103957,07 Oct 2008,18302607.0,True,Comedy,Anton Yelchin,30000000.0,41002607.0,2011,6.4,72.0,64.0
Soul Surfer,PG,2011-04-08,112,Sean McNamara,"Sean McNamara, Deborah Schwartz, Douglas Schwartz","AnnaSophia Robb, Dennis Quaid, Helen Hunt",Teenage surfer Bethany Hamilton overcomes the odds and her own fears of returning to the water after losing her left arm in a shark attack.,English,United States,2 wins & 12 nominations,53.0,7.0,48381,02 Aug 2011,43853424.0,True,Biography,AnnaSophia Robb,18000000.0,47120948.0,2011,7.0,45.0,53.0
The Artist,PG-13,2012-01-20,100,Michel Hazanavicius,Michel Hazanavicius,"Jean Dujardin, Bérénice Bejo, John Goodman",An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.,English,"France, Belgium, United States",Won 5 Oscars. 162 wins & 204 nominations total,89.0,7.9,237714,24 Apr 2012,44671682.0,True,Comedy,Jean Dujardin,15000000.0,133432856.0,2012,7.9,95.0,89.0
Water for Elephants,PG-13,2011-04-22,120,Francis Lawrence,"Richard LaGravenese, Sara Gruen","Robert Pattinson, Reese Witherspoon, Christoph Waltz","Set in the 1930s, a former veterinary student takes a job in a travelling circus and falls in love with the ringmaster's wife.","English, Polish",United States,3 wins & 13 nominations,52.0,6.9,114629,01 Nov 2011,58709717.0,True,Drama,Robert Pattinson,38000000.0,117094902.0,2011,6.9,60.0,52.0
"Oslo, August 31st",Not Rated,2011-08-31,95,Joachim Trier,"Pierre Drieu La Rochelle, Joachim Trier, Eskil Vogt","Anders Danielsen Lie, Hans Olav Brenner, Ingrid Olava","One day in the life of Anders, a young recovering drug addict, who takes a brief leave from his treatment center to interview for a job and catch up with old friends in Oslo.","Norwegian, English","Norway, Denmark, Sweden",19 wins & 20 nominations,84.0,7.6,21851,18 Sep 2012,101475.0,True,Drama,Anders Danielsen Lie,0.0,1470679.0,2011,7.6,97.0,84.0
The Snowtown Murders,Not Rated,2011-05-19,119,Justin Kurzel,"Shaun Grant, Justin Kurzel, Debi Marshall","Lucas Pittaway, Daniel Henshall, Louise Harris","Based on true events, 16 year-old Jamie falls in with his mother's new boyfriend and his crowd of self-appointed neighborhood watchmen, a relationship that leads to a spree of torture and murder.",English,Australia,23 wins & 23 nominations,66.0,6.6,18335,14 Aug 2012,8452.0,True,Biography,Lucas Pittaway,2000000.0,1349387.0,2011,6.6,84.0,66.0
Something Borrowed,PG-13,2011-05-06,112,Luke Greenfield,"Jennie Snyder Urman, Emily Giffin","Ginnifer Goodwin, Kate Hudson, Colin Egglesfield","Friendships are tested and secrets come to the surface when terminally single Rachel falls for Dex, her best friend Darcy's fiancé.",English,United States,5 nominations,36.0,5.9,61167,16 Aug 2011,39046489.0,True,Comedy,Ginnifer Goodwin,35000000.0,65100369.0,2011,5.9,15.0,36.0
Priest,PG-13,2011-05-13,87,Scott Stewart,"Cory Goodman, Min-Woo Hyung","Paul Bettany, Cam Gigandet, Maggie Q",A priest disobeys church law to track down the vampires who kidnapped his niece.,English,United States,3 nominations,41.0,5.7,118568,16 Aug 2011,29137000.0,True,Drama,Linus Roache,0.0,4165845.0,2011,5.7,15.0,41.0
Priest,PG-13,2011-05-13,87,Scott Stewart,"Cory Goodman, Min-Woo Hyung","Paul Bettany, Cam Gigandet, Maggie Q",A priest disobeys church law to track down the vampires who kidnapped his niece.,English,United States,3 nominations,41.0,5.7,118568,16 Aug 2011,29137000.0,True,Action,Paul Bettany,60000000.0,78309505.0,2011,5.7,15.0,41.0
Johnny English Reborn,PG,2011-10-21,101,Oliver Parker,"Hamish McColl, William Davies, Neal Purvis","Rowan Atkinson, Rosamund Pike, Dominic West",Johnny English goes up against international assassins hunting down Chinese Premier Xiang Ping.,"English, Mandarin, Swiss German, Cantonese, Russian","United Kingdom, France, United States",4 nominations,46.0,6.3,126993,14 Feb 2012,8305970.0,True,Action,Rowan Atkinson,45000000.0,160078586.0,2011,6.3,38.0,46.0
The Inbetweeners,TV-14,2010-01-25,25,NA,NA,"Simon Bird, James Buckley, Blake Harrison",Follows four friends and their antics during their final years of school.,English,United Kingdom,Won 1 BAFTA Film Award13 wins & 14 nominations total,0.0,8.4,84775,NA,0.0,True,Comedy,James Buckley,0.0,88823111.0,2010,8.4,0.0,0.0
Bucky Larson: Born to Be a Star,R,2011-09-09,97,Tom Brady,"Adam Sandler, Allen Covert, Nick Swardson","Nick Swardson, Don Johnson, Christina Ricci","A kid from the Midwest moves out to Hollywood in order to follow in his parents footsteps, and become a porn star.",English,United States,1 win & 6 nominations,9.0,3.2,11895,17 Jan 2012,2529395.0,True,Comedy,Nick Swardson,10000000.0,2530394.0,2011,3.2,3.0,9.0
Diary of a Wimpy Kid: Rodrick Rules,PG,2011-03-25,99,David Bowers,"Gabe Sachs, Jeff Judah, Jeff Kinney","Zachary Gordon, Devon Bostick, Robert Capron","Back in middle school after summer vacation, Greg Heffley and his older brother Rodrick must deal with their parents' misguided attempts to have them bond.",English,United States,2 wins & 5 nominations,51.0,6.6,29651,11 Jun 2011,52698535.0,True,Animation,Zachary Gordon,21000000.0,72526996.0,2011,6.6,47.0,51.0
Kill List,Not Rated,2011-09-02,95,Ben Wheatley,"Ben Wheatley, Amy Jump","Neil Maskell, MyAnna Buring, Harry Simpson","Nearly a year after a botched job, a hitman takes a new assignment with the promise of a big payoff for three killings. What starts off as an easy task soon unravels, sending the killer into the heart of darkness.","English, Swedish",United Kingdom,3 wins & 18 nominations,67.0,6.4,39532,14 Aug 2012,29063.0,True,Action,Neil Maskell,0.0,450275.0,2011,6.4,78.0,67.0
Carnage,R,2011-11-18,80,Roman Polanski,"Yasmina Reza, Michael Katims, Roman Polanski","Jodie Foster, Kate Winslet, Christoph Waltz","Two pairs of parents hold a cordial meeting after their sons are involved in a fight, though as their time together progresses, increasingly childish behavior throws the discussion into chaos.",English,"France, Germany, Poland, Spain, United States",7 wins & 20 nominations,61.0,7.2,124790,20 Mar 2012,2547047.0,True,Comedy,Jodie Foster,25000000.0,30722632.0,2011,7.2,70.0,61.0
Attack the Block,R,2011-05-13,88,Joe Cornish,Joe Cornish,"John Boyega, Jodie Whittaker, Alex Esmail",A teen gang in South London defend their block from an alien invasion.,English,United Kingdom,Nominated for 1 BAFTA Film Award19 wins & 39 nominations total,75.0,6.7,104954,25 Oct 2011,1024175.0,True,Action,John Boyega,13000000.0,6206022.0,2011,6.7,90.0,75.0
The Guard,R,2011-07-07,96,John Michael McDonagh,John Michael McDonagh,"Brendan Gleeson, Don Cheadle, Mark Strong",An unorthodox Irish policeman with a confrontational personality is partnered with an up-tight F.B.I. agent to investigate an international drug-smuggling ring.,"English, Irish Gaelic",Ireland,Nominated for 1 BAFTA Film Award17 wins & 29 nominations total,78.0,7.3,84868,03 Jan 2012,5360274.0,True,Comedy,Brendan Gleeson,6000000.0,19561904.0,2011,7.3,94.0,78.0
Young Adult,R,2011-12-16,94,Jason Reitman,Diablo Cody,"Charlize Theron, Patrick Wilson, Patton Oswalt","Soon after her divorce, a fiction writer returns to her home in small-town Minnesota, looking to rekindle a romance with her ex-boyfriend, who is now happily married and has a newborn daughter.",English,United States,3 wins & 33 nominations,71.0,6.3,83264,13 Mar 2012,16311571.0,True,Comedy,Charlize Theron,12000000.0,22939027.0,2011,6.3,80.0,71.0
The Devil's Double,R,2011-09-08,109,Lee Tamahori,"Michael Thomas, Latif Yahia, Emjay Rechsteiner","Dominic Cooper, Ludivine Sagnier, Raad Rawi","A chilling vision of the house of Saddam. The world of Hussein comes to life through the eyes of the man who was given a choice; either be the double for Saddam's sadistic son, or die.",English,"Belgium, Netherlands",4 nominations,52.0,7.1,61633,22 Nov 2011,1361512.0,True,Biography,Dominic Cooper,19100000.0,5728213.0,2011,7.1,54.0,52.0
Another Earth,PG-13,2011-10-12,92,Mike Cahill,"Mike Cahill, Brit Marling","Brit Marling, William Mapother, Matthew-Lee Erlbach","On the night of the discovery of a duplicate Earth in the Solar system, an ambitious young student and an accomplished composer cross paths in a tragic accident.",English,United States,7 wins & 14 nominations,66.0,6.9,94157,29 Nov 2011,1321194.0,True,Drama,Brit Marling,100000.0,1938783.0,2011,6.9,66.0,66.0
Perfect Sense,R,2011-10-07,92,David Mackenzie,Kim Fupz Aakeson,"Ewan McGregor, Eva Green, Lauren Tempany",A chef and a scientist fall in love as an epidemic begins to rob people of their sensory perceptions.,"English, Sign ","United Kingdom, Sweden, Denmark, Ireland",3 wins & 3 nominations,55.0,7.1,59091,22 May 2012,2959.0,True,Drama,Ewan McGregor,0.0,933352.0,2011,7.1,58.0,55.0
Like Crazy,PG-13,2012-01-27,86,Drake Doremus,"Drake Doremus, Ben York Jones","Felicity Jones, Anton Yelchin, Jennifer Lawrence","A British college student falls for an American student, only to be separated from him when she's banned from the U.S. after overstaying her visa.",English,United States,9 wins & 7 nominations,68.0,6.7,61114,06 Mar 2012,3395391.0,True,Drama,Felicity Jones,250000.0,3852409.0,2012,6.7,72.0,68.0
What's Your Number?,R,2011-09-30,106,Mark Mylod,"Karyn Bosnak, Gabrielle Allan, Jennifer Crittenden","Anna Faris, Chris Evans, Ari Graynor",A woman looks back at the past nineteen men she's had relationships with in her life and wonders if one of them might be her one true love.,English,United States,1 win,35.0,6.1,77916,10 Jan 2012,14011084.0,True,Comedy,Anna Faris,20000000.0,30426096.0,2011,6.1,23.0,35.0
Detachment,Not Rated,2012-02-01,98,Tony Kaye,Carl Lund,"Adrien Brody, Christina Hendricks, Marcia Gay Harden",A substitute teacher who drifts from classroom to classroom finds a connection to the students and teachers during his latest assignment.,English,United States,8 wins & 4 nominations,52.0,7.7,81859,24 Jul 2012,72689.0,True,Drama,Adrien Brody,0.0,1688710.0,2012,7.7,58.0,52.0
Gnomeo & Juliet,G,2011-02-11,84,Kelly Asbury,"Rob Sprackling, Johnny Smith, Andy Riley","James McAvoy, Emily Blunt, Maggie Smith","Separated by a garden fence and a feud, are blue gnomes on one side and red gnomes on the other. This doesn't stop blue Gnomeo and red Juliet from falling in love with each other. Do they have a future together?","English, Japanese, Spanish, German","United Kingdom, United States, Canada, Ireland",1 win & 12 nominations,53.0,5.9,54627,24 May 2011,99967670.0,True,Animation,James McAvoy,36000000.0,193967670.0,2011,5.9,55.0,53.0
Puss in Boots,PG,2011-10-28,90,Chris Miller,"Tom Wheeler, Brian Lynch, William Davies","Antonio Banderas, Salma Hayek, Zach Galifianakis","An outlaw cat, his childhood egg-friend and a seductive thief kitty set out in search for the eggs of the fabled Golden Goose to clear his name, restore his lost honor and regain the trust of his mother and town.","English, Spanish",United States,Nominated for 1 Oscar. 9 wins & 43 nominations total,65.0,6.6,153007,24 Feb 2012,149260504.0,True,Animation,Antonio Banderas,130000000.0,554987477.0,2011,6.6,86.0,65.0
Beastly,PG-13,2011-03-04,86,Daniel Barnz,"Daniel Barnz, Alex Flinn","Alex Pettyfer, Vanessa Hudgens, Mary-Kate Olsen","A modern-day take on the ""Beauty and the Beast"" tale where a New York teen is transformed into a hideous monster in order to find true love.",English,United States,1 win & 1 nomination,40.0,5.6,77000,28 Jun 2011,27865571.0,True,Drama,Alex Pettyfer,17000000.0,43202283.0,2011,5.6,21.0,40.0
My Week with Marilyn,R,2011-12-23,99,Simon Curtis,"Adrian Hodges, Colin Clark","Michelle Williams, Eddie Redmayne, Kenneth Branagh","Colin Clark, an employee of Sir Laurence Olivier, documents the tense interaction between Olivier and Marilyn Monroe during the production of The Prince and the Showgirl (1957).","English, French","United Kingdom, United States",Nominated for 2 Oscars. 18 wins & 64 nominations total,65.0,6.9,85869,06 Mar 2012,14600347.0,True,Biography,Michelle Williams,0.0,35057696.0,2011,6.9,83.0,65.0
This Must Be the Place,R,2011-08-24,118,Paolo Sorrentino,"Paolo Sorrentino, Umberto Contarello","Sean Penn, Frances McDormand, Judd Hirsch","Cheyenne, a retired rock star living off his royalties in Dublin, returns to New York City to find the man responsible for a humiliation suffered by his recently deceased father during W.W.II.","English, Hebrew","Italy, France, Ireland",19 wins & 17 nominations,61.0,6.7,34420,12 Mar 2013,143979.0,True,Adventure,Sean Penn,0.0,11928909.0,2011,6.7,67.0,61.0
Butter,R,2012-10-18,90,Jim Field Smith,Jason A. Micallef,"Jennifer Garner, Yara Shahidi, Ty Burrell","In Iowa, a girl in foster care discovers her talent for butter carving and finds herself pitted against an ambitious local woman in their town's annual contest.",English,United States,NA,40.0,6.2,21492,04 Dec 2012,105018.0,True,Comedy,Jennifer Garner,0.0,175706.0,2012,6.2,34.0,40.0
Bernie,PG-13,2012-06-22,104,Richard Linklater,"Skip Hollandsworth, Richard Linklater","Jack Black, Shirley MacLaine, Matthew McConaughey","In small-town Texas, an affable mortician strikes up a friendship with a wealthy widow, though when she starts to become controlling, he goes to great lengths to separate himself from her grasp.",English,United States,10 wins & 19 nominations,75.0,6.8,59494,21 Aug 2012,9206470.0,True,Biography,Jack Black,5000000.0,10173061.0,2012,6.8,88.0,75.0
Season of the Witch,PG-13,2011-01-07,95,Dominic Sena,Bragi F. Schut,"Nicolas Cage, Ron Perlman, Claire Foy","Fourteenth century knights transport a suspected witch to a monastery, where monks deduce her powers could be the source of the Black Plague.","English, Latin",United States,2 nominations,28.0,5.4,92893,28 Jun 2011,24827228.0,True,Action,Nicolas Cage,40000000.0,91627228.0,2011,5.4,11.0,28.0
Silent House,R,2012-03-09,86,"Chris Kentis, Laura Lau","Gustavo Hernández, Laura Lau, Oscar Estévez","Elizabeth Olsen, Adam Trese, Eric Sheffer Stevens",A girl is trapped inside her family's lakeside retreat and becomes unable to contact the outside world as supernatural forces haunt the house with mysterious energy and consequences.,English,"United States, France",1 win & 3 nominations,49.0,5.3,22567,13 Sep 2011,12754783.0,True,Drama,Elizabeth Olsen,2000000.0,16527747.0,2012,5.3,43.0,49.0
Winnie the Pooh,G,2011-07-15,63,"Stephen J. Anderson, Don Hall","Stephen J. Anderson, Clio Chiang, Don Dougherty","Jim Cummings, Craig Ferguson, John Cleese","While searching for honey, Pooh and his friends embark on an adventure to find Eeyore's missing tail and rescue Christopher Robin from an unknown monster called The Backson.",English,United States,2 wins & 25 nominations,74.0,7.2,23904,25 Oct 2011,26692846.0,True,Animation,Jim Cummings,30000000.0,49871429.0,2011,7.2,90.0,74.0
Hobo with a Shotgun,Not Rated,2011-05-12,86,Jason Eisener,John Davies,"Rutger Hauer, Pasha Ebrahimi, Robb Wells","A homeless vigilante blows away crooked cops, pedophile Santas, and other scumbags with his trusty pump-action shotgun.",English,Canada,1 win & 4 nominations,55.0,6.1,45603,05 Jul 2011,703372.0,True,Action,Rutger Hauer,3000000.0,748453.0,2011,6.1,66.0,55.0
The Eagle,PG-13,2011-02-11,114,Kevin Macdonald,"Jeremy Brock, Rosemary Sutcliff","Channing Tatum, Jamie Bell, Donald Sutherland","In Roman-ruled Britain, a young Roman soldier endeavors to honor his father's memory by finding his lost legion's golden emblem.","English, Gaelic","United Kingdom, United States",1 nomination,55.0,6.2,68593,21 Jun 2011,19490041.0,True,Action,Channing Tatum,25000000.0,37989684.0,2011,6.2,39.0,55.0
